"date","comment","tone","rating"
"01/25/2021","Woman outside vet's office",20,5
"01/26/2021","Look how his paws move when he runs",20,10
"01/26/2021","So pretty, there are so many that look like him on this street",20,8
"01/28/2021","Maybe he was mistreated",10,3
"01/28/2021","He must've had a hard street life, you have to give him time to adjust",10,6
"01/30/2021","Janitor in the elevator asked his name",15,3
"02/02/2021","Look at the stare!",13,6
"02/02/2021","So pretty! My ex got me this dog, but he never took her out of the house",15,8
"02/02/2021","So pretty! random guy reaching down",18,7
"02/03/2021","You've got to behave for your mom!",16,7
"02/03/2021","So cute! Is he a puppy?",18,7
"02/03/2021","I explained to a man in the elevator that he gets nervous around people in the elevator",10,3
"02/03/2021","Woman asked where I was going and invited me to the park",19,8
"02/04/2021","Look he's shaking he's so nervous!",10,9
"02/06/2021","Woman encouraged Benji to get in the elevator because she saw he was nervous",18,6
"02/07/2021","(Same woman) you're going to have more fun than me! I'm just going to do laundry",18,8
"02/09/2021","He's a puppy right? Don't worry about my dog, he's timid",15,6
"02/09/2021","He's a puppy right? You can tell. Mine is a grandma",15,7
"02/09/2021","(After barking at another dog and then barking at a man) Why are you so angry?",3,0
"02/13/2021","(After a Benji barked at a guy crouching down) Why'd you do that? I didn't do anything to you",2,0
"02/14/2021","I said sorry to a guy when the elevator opened because Benji barked at him",5,2
"02/15/2021","I said sorry to a girl who Benji barked at",4,1
"02/16/2021","Conversation with women about adopting our dogs, and how both are scared of men",18,6
